软件名称,版本号,依赖的Windows系统DLL清单（非自带DLL）,统计（左）,与Microsoft Visio相同的DLL,统计（左）,与Microsoft Visio不同的DLL,统计（左）
Microsoft Visio, 2010,msvcr90.dll kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll crypt32.dll msvbvm60.dll wintrust.dll wininet.dll version.dll mfc90u.dll mscoree.dll gdi32.dll shell32.dll mso.dll msvcp90.dll shlwapi.dll imm32.dll urlmon.dll msimg32.dll uxtheme.dll rpcrt4.dll odbc32.dll mapi32.dll dsuiext.dll wtsapi32.dll winmm.dll d3d9.dll ddraw.dll t2embed.dll setupapi.dll msvfw32.dll secur32.dll csi.dll oleacc.dll msi.dll msptls.dll gdiplus.dll ws2_32.dll ntdll.dll mscms.dll userenv.dll comdlg32.dll comctl32.dll activeds.dll psapi.dll microsoft.office.access.businessdatacatalog.dll oledlg.dll mpr.dll,51
亿图图示, 9.3,kernel32.dll msvcrt.dll user32.dll gdi32.dll msimg32.dll advapi32.dll rpcrt4.dll qt5webenginewidgets.dll ole32.dll oleaut32.dll shell32.dll ws2_32.dll wldap32.dll normaliz.dll comctl32.dll comdlg32.dll shlwapi.dll gdiplus.dll oleacc.dll imm32.dll winmm.dll version.dll mpr.dll d3d9.dll,24,kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll version.dll gdi32.dll shell32.dll shlwapi.dll imm32.dll msimg32.dll rpcrt4.dll winmm.dll d3d9.dll oleacc.dll gdiplus.dll ws2_32.dll comdlg32.dll comctl32.dll mpr.dll,21,qt5webenginewidgets.dll wldap32.dll normaliz.dll,3
DIA Diagram Editor,0.97,kernel32.dll msvcrt.dll shell32.dll user32.dll advapi32.dll shlwapi.dll gdi32.dll msimg32.dll imm32.dll ole32.dll gdiplus.dll dnsapi.dll ws2_32.dll comctl32.dll comdlg32.dll usp10.dll wsock32.dll version.dll libpng12-0.dll,19,kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll version.dll gdi32.dll shell32.dll shlwapi.dll imm32.dll msimg32.dll gdiplus.dll ws2_32.dll comdlg32.dll comctl32.dll,15,dnsapi.dll usp10.dll wsock32.dll libpng12-0.dll,4
Open Office Draw,4.1.5,msvcr90.dll kernel32.dll msvcp90.dll ole32.dll oleaut32.dll gdi32.dll user32.dll winmm.dll msvcm90.dll mscoree.dll advapi32.dll d3d9.dll shell32.dll comdlg32.dll msvcrt.dll ws2_32.dll mswsock.dll rpcrt4.dll wldap32.dll wsock32.dll crypt32.dll jawt.dll wininet.dll comctl32.dll msvcr71.dll msvcr80.dll imagehlp.dll mpr.dll propsys.dll oleacc.dll shlwapi.dll imm32.dll msimg32.dll,33,msvcr90.dll kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll crypt32.dll wininet.dll mscoree.dll gdi32.dll shell32.dll msvcp90.dll shlwapi.dll imm32.dll msimg32.dll rpcrt4.dll winmm.dll d3d9.dll oleacc.dll ws2_32.dll comdlg32.dll comctl32.dll mpr.dll,24,msvcm90.dll mswsock.dll wldap32.dll wsock32.dll jawt.dll msvcr71.dll msvcr80.dll imagehlp.dll propsys.dll,9
Inkscape,0.92,kernel32.dll msvcrt.dll shell32.dll user32.dll gdi32.dll imm32.dll ole32.dll gdiplus.dll advapi32.dll dnsapi.dll iphlpapi.dll ws2_32.dll comctl32.dll comdlg32.dll dwrite.dll rpcrt4.dll usp10.dll shlwapi.dll netapi32.dll userenv.dll oleaut32.dll,21,kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll gdi32.dll shell32.dll shlwapi.dll imm32.dll rpcrt4.dll gdiplus.dll ws2_32.dll userenv.dll comdlg32.dll comctl32.dll,16,dnsapi.dll iphlpapi.dll dwrite.dll usp10.dll netapi32.dll,5
Graphviz,2.37,msvcr90.dll kernel32.dll msvcrt.dll msi.dll shell32.dll msvcp80d.dll msvcr80d.dll user32.dll gdi32.dll winmm.dll glu32.dll opengl32.dll ole32.dll gdiplus.dll msvcp90.dll comdlg32.dll msimg32.dll imm32.dll advapi32.dll dnsapi.dll shlwapi.dll ws2_32.dll comctl32.dll msvcr90d.dll oleaut32.dll,25,msvcr90.dll kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll gdi32.dll shell32.dll msvcp90.dll shlwapi.dll imm32.dll msimg32.dll winmm.dll msi.dll gdiplus.dll ws2_32.dll comdlg32.dll comctl32.dll,19,msvcp80d.dll msvcr80d.dll glu32.dll opengl32.dll dnsapi.dll msvcr90d.dll,6
QQ,9.0,kernel32.dll advapi32.dll msvcirt.dll msvcrt.dll ole32.dll shell32.dll shlwapi.dll user32.dll version.dll ws2_32.dll gdi32.dll oleaut32.dll winmm.dll imm32.dll gdiplus.dll wininet.dll msimg32.dll comdlg32.dll urlmon.dll psapi.dll iphlpapi.dll crypt32.dll wintrust.dll powrprof.dll netapi32.dll wtsapi32.dll imagehlp.dll usp10.dll mfc80u.dll comctl32.dll setupapi.dll rasapi32.dll dbghelp.dll dxva2.dll d3d9.dll rpcrt4.dll oleacc.dll winhttp.dll userenv.dll dhcpcsvc.dll secur32.dll bluetoothapis.dll dwmapi.dll cfgmgr32.dll mf.dll mfplat.dll mfreadwrite.dll d3d11.dll avicap32.dll opengl32.dll dinput8.dll mscoree.dll wldap32.dll dsound.dll msls31.dll mso.dll uxtheme.dll avrt.dll msacm32.dll msvfw32.dll mfc42.dll d3d10_1.dll dxgi.dll msi.dll,64,kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll crypt32.dll wintrust.dll wininet.dll version.dll mscoree.dll gdi32.dll shell32.dll mso.dll shlwapi.dll imm32.dll urlmon.dll msimg32.dll uxtheme.dll rpcrt4.dll wtsapi32.dll winmm.dll d3d9.dll setupapi.dll msvfw32.dll secur32.dll oleacc.dll msi.dll gdiplus.dll ws2_32.dll userenv.dll comdlg32.dll comctl32.dll psapi.dll,34,msvcirt.dll iphlpapi.dll powrprof.dll netapi32.dll imagehlp.dll usp10.dll mfc80u.dll rasapi32.dll dbghelp.dll dxva2.dll winhttp.dll dhcpcsvc.dll bluetoothapis.dll dwmapi.dll cfgmgr32.dll mf.dll mfplat.dll mfreadwrite.dll d3d11.dll avicap32.dll opengl32.dll dinput8.dll wldap32.dll dsound.dll msls31.dll avrt.dll msacm32.dll mfc42.dll d3d10_1.dll dxgi.dll,30
微信PC版,2.6,rpcrt4.dll version.dll kernel32.dll advapi32.dll shell32.dll ole32.dll shlwapi.dll winhttp.dll ws2_32.dll msvcrt.dll gdi32.dll user32.dll d3d9.dll wininet.dll psapi.dll comdlg32.dll oleaut32.dll netapi32.dll userenv.dll urlmon.dll dhcpcsvc.dll wtsapi32.dll comctl32.dll winmm.dll imm32.dll oleacc.dll secur32.dll crypt32.dll iphlpapi.dll usp10.dll bluetoothapis.dll dwmapi.dll setupapi.dll cfgmgr32.dll powrprof.dll mf.dll mfplat.dll mfreadwrite.dll d3d11.dll dxva2.dll gdiplus.dll wintrust.dll msimg32.dll opengl32.dll ddraw.dll wldap32.dll wsock32.dll,47,kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll crypt32.dll wintrust.dll wininet.dll version.dll gdi32.dll shell32.dll shlwapi.dll imm32.dll urlmon.dll msimg32.dll rpcrt4.dll wtsapi32.dll winmm.dll d3d9.dll ddraw.dll setupapi.dll secur32.dll oleacc.dll gdiplus.dll ws2_32.dll userenv.dll comdlg32.dll comctl32.dll psapi.dll,30,winhttp.dll netapi32.dll dhcpcsvc.dll iphlpapi.dll usp10.dll bluetoothapis.dll dwmapi.dll cfgmgr32.dll powrprof.dll mf.dll mfplat.dll mfreadwrite.dll d3d11.dll dxva2.dll opengl32.dll wldap32.dll wsock32.dll,17
迅雷,10.1,kernel32.dll advapi32.dll gdi32.dll ole32.dll oleaut32.dll user32.dll userenv.dll shlwapi.dll comdlg32.dll shell32.dll version.dll wininet.dll psapi.dll oleacc.dll ws2_32.dll iphlpapi.dll comctl32.dll imm32.dll msimg32.dll msvcrt.dll rpcrt4.dll dwrite.dll api-ms-win-core-synch-l1-1-0.dll api-ms-win-core-processthreads-l1-1-0.dll api-ms-win-core-heap-l1-1-0.dll api-ms-win-eventing-provider-l1-1-0.dll api-ms-win-core-libraryloader-l1-2-0.dll api-ms-win-core-com-l1-1-0.dll api-ms-win-core-heap-l2-1-0.dll api-ms-win-core-file-l1-1-0.dll api-ms-win-core-handle-l1-1-0.dll api-ms-win-core-memory-l1-1-0.dll api-ms-win-core-string-l1-1-0.dll api-ms-win-security-base-l1-1-0.dll api-ms-win-core-errorhandling-l1-1-0.dll api-ms-win-core-sysinfo-l1-1-0.dll api-ms-win-core-localization-l1-2-0.dll api-ms-win-core-threadpool-l1-2-0.dll api-ms-win-core-debug-l1-1-0.dll api-ms-win-core-processenvironment-l1-1-0.dll api-ms-win-core-synch-l1-2-0.dll api-ms-win-core-profile-l1-1-0.dll api-ms-win-core-libraryloader-l1-2-1.dll api-ms-win-core-processthreads-l1-1-1.dll api-ms-win-core-kernel32-legacy-l1-1-0.dll api-ms-win-core-heap-obsolete-l1-1-0.dll api-ms-win-core-string-obsolete-l1-1-0.dll api-ms-win-core-delayload-l1-1-1.dll api-ms-win-core-delayload-l1-1-0.dll wldap32.dll d3d9.dll winmm.dll dbghelp.dll usp10.dll credui.dll cryptui.dll dwmapi.dll netapi32.dll crypt32.dll ncrypt.dll secur32.dll urlmon.dll winhttp.dll wintrust.dll wtsapi32.dll d3d11.dll dxva2.dll dxgi.dll fontsub.dll dhcpcsvc.dll cfgmgr32.dll setupapi.dll powrprof.dll mf.dll mfplat.dll mfreadwrite.dll bluetoothapis.dll ndfapi.dll uxtheme.dll uiautomationcore.dll api-ms-win-core-winrt-l1-1-0.dll api-ms-win-core-winrt-string-l1-1-0.dll msvfw32.dll ddraw.dll,84,kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll crypt32.dll wintrust.dll wininet.dll version.dll gdi32.dll shell32.dll shlwapi.dll imm32.dll urlmon.dll msimg32.dll uxtheme.dll rpcrt4.dll wtsapi32.dll winmm.dll d3d9.dll ddraw.dll setupapi.dll msvfw32.dll secur32.dll oleacc.dll ws2_32.dll userenv.dll comdlg32.dll comctl32.dll psapi.dll,31,iphlpapi.dll dwrite.dll api-ms-win-core-synch-l1-1-0.dll api-ms-win-core-processthreads-l1-1-0.dll api-ms-win-core-heap-l1-1-0.dll api-ms-win-eventing-provider-l1-1-0.dll api-ms-win-core-libraryloader-l1-2-0.dll api-ms-win-core-com-l1-1-0.dll api-ms-win-core-heap-l2-1-0.dll api-ms-win-core-file-l1-1-0.dll api-ms-win-core-handle-l1-1-0.dll api-ms-win-core-memory-l1-1-0.dll api-ms-win-core-string-l1-1-0.dll api-ms-win-security-base-l1-1-0.dll api-ms-win-core-errorhandling-l1-1-0.dll api-ms-win-core-sysinfo-l1-1-0.dll api-ms-win-core-localization-l1-2-0.dll api-ms-win-core-threadpool-l1-2-0.dll api-ms-win-core-debug-l1-1-0.dll api-ms-win-core-processenvironment-l1-1-0.dll api-ms-win-core-synch-l1-2-0.dll api-ms-win-core-profile-l1-1-0.dll api-ms-win-core-libraryloader-l1-2-1.dll api-ms-win-core-processthreads-l1-1-1.dll api-ms-win-core-kernel32-legacy-l1-1-0.dll api-ms-win-core-heap-obsolete-l1-1-0.dll api-ms-win-core-string-obsolete-l1-1-0.dll api-ms-win-core-delayload-l1-1-1.dll api-ms-win-core-delayload-l1-1-0.dll wldap32.dll dbghelp.dll usp10.dll credui.dll cryptui.dll dwmapi.dll netapi32.dll ncrypt.dll winhttp.dll d3d11.dll dxva2.dll dxgi.dll fontsub.dll dhcpcsvc.dll cfgmgr32.dll powrprof.dll mf.dll mfplat.dll mfreadwrite.dll bluetoothapis.dll ndfapi.dll uiautomationcore.dll api-ms-win-core-winrt-l1-1-0.dll api-ms-win-core-winrt-string-l1-1-0.dll,53
Foxmail 7.2,7.2,version.dll wininet.dll psapi.dll comctl32.dll kernel32.dll user32.dll gdi32.dll advapi32.dll shell32.dll ole32.dll oleaut32.dll gdiplus.dll shlwapi.dll wtsapi32.dll crypt32.dll wintrust.dll iphlpapi.dll netapi32.dll msvcrt.dll rpcrt4.dll usp10.dll comdlg32.dll winhttp.dll userenv.dll urlmon.dll dhcpcsvc.dll oleacc.dll winmm.dll ws2_32.dll imm32.dll secur32.dll cfgmgr32.dll powrprof.dll setupapi.dll dwmapi.dll bluetoothapis.dll mf.dll mfplat.dll mfreadwrite.dll d3d9.dll d3d11.dll dxva2.dll widevinecdm.dll msvcp60.dll msimg32.dll mpr.dll wsock32.dll ntdsapi.dll sensapi.dll cef3\libcef.dll wldap32.dll mscoree.dll,52,kernel32.dll msvcrt.dll advapi32.dll user32.dll ole32.dll oleaut32.dll crypt32.dll wintrust.dll wininet.dll version.dll mscoree.dll gdi32.dll shell32.dll shlwapi.dll imm32.dll urlmon.dll msimg32.dll rpcrt4.dll wtsapi32.dll winmm.dll d3d9.dll setupapi.dll secur32.dll oleacc.dll gdiplus.dll ws2_32.dll userenv.dll comdlg32.dll comctl32.dll psapi.dll mpr.dll,31,iphlpapi.dll netapi32.dll usp10.dll winhttp.dll dhcpcsvc.dll cfgmgr32.dll powrprof.dll dwmapi.dll bluetoothapis.dll mf.dll mfplat.dll mfreadwrite.dll d3d11.dll dxva2.dll widevinecdm.dll msvcp60.dll wsock32.dll ntdsapi.dll sensapi.dll cef3\libcef.dll wldap32.dll,21
